,geoid_long,stab,state,tract,block_group,labor_force,unemployed,unemployment_rate,county,geoid
292,15000US110010067002,DC,11,006700,2,923,8,0.87,001,110010067002
293,15000US110010067003,DC,11,006700,3,1207,33,2.73,001,110010067003
294,15000US110010068011,DC,11,006801,1,1229,81,6.59,001,110010068011
295,15000US110010068012,DC,11,006801,2,526,30,5.7,001,110010068012
296,15000US110010068021,DC,11,006802,1,703,80,11.38,001,110010068021
297,15000US110010068022,DC,11,006802,2,948,22,2.32,001,110010068022
298,15000US110010068041,DC,11,006804,1,158,45,28.48,001,110010068041
299,15000US110010069001,DC,11,006900,1,1146,8,0.7,001,110010069001
300,15000US110010069002,DC,11,006900,2,667,3,0.45,001,110010069002
301,15000US110010070001,DC,11,007000,1,1107,64,5.78,001,110010070001
302,15000US110010070002,DC,11,007000,2,745,21,2.82,001,110010070002
303,15000US110010071001,DC,11,007100,1,318,0,0.0,001,110010071001
304,15000US110010071002,DC,11,007100,2,695,209,30.07,001,110010071002
305,15000US110010071003,DC,11,007100,3,675,7,1.04,001,110010071003
306,15000US110010072011,DC,11,007201,1,472,23,4.87,001,110010072011
307,15000US110010072012,DC,11,007201,2,633,20,3.16,001,110010072012
308,15000US110010072013,DC,11,007201,3,0,0,,001,110010072013
309,15000US110010072014,DC,11,007201,4,207,0,0.0,001,110010072014
310,15000US110010072021,DC,11,007202,1,831,0,0.0,001,110010072021
311,15000US110010072022,DC,11,007202,2,1060,17,1.6,001,110010072022
312,15000US110010072023,DC,11,007202,3,1060,0,0.0,001,110010072023
313,15000US110010072031,DC,11,007203,1,265,1,0.38,001,110010072031
314,15000US110010072032,DC,11,007203,2,46,5,10.87,001,110010072032
315,15000US110010072033,DC,11,007203,3,424,0,0.0,001,110010072033
316,15000US110010072034,DC,11,007203,4,999,83,8.31,001,110010072034
317,15000US110010073011,DC,11,007301,1,323,31,9.6,001,110010073011
318,15000US110010073012,DC,11,007301,2,697,9,1.29,001,110010073012
319,15000US110010073013,DC,11,007301,3,284,14,4.93,001,110010073013
320,15000US110010073041,DC,11,007304,1,359,24,6.69,001,110010073041
321,15000US110010073042,DC,11,007304,2,478,56,11.72,001,110010073042
322,15000US110010073043,DC,11,007304,3,266,87,32.71,001,110010073043
323,15000US110010073044,DC,11,007304,4,769,45,5.85,001,110010073044
324,15000US110010074011,DC,11,007401,1,141,24,17.02,001,110010074011
325,15000US110010074012,DC,11,007401,2,476,229,48.11,001,110010074012
326,15000US110010074031,DC,11,007403,1,412,30,7.28,001,110010074031
327,15000US110010074032,DC,11,007403,2,856,145,16.94,001,110010074032
328,15000US110010074041,DC,11,007404,1,845,77,9.11,001,110010074041
329,15000US110010074042,DC,11,007404,2,974,56,5.75,001,110010074042
330,15000US110010074043,DC,11,007404,3,82,8,9.76,001,110010074043
331,15000US110010074061,DC,11,007406,1,816,239,29.29,001,110010074061
332,15000US110010074062,DC,11,007406,2,496,97,19.56,001,110010074062
333,15000US110010074071,DC,11,007407,1,527,22,4.17,001,110010074071
334,15000US110010074072,DC,11,007407,2,552,178,32.25,001,110010074072
335,15000US110010074073,DC,11,007407,3,680,124,18.24,001,110010074073
336,15000US110010074081,DC,11,007408,1,550,165,30.0,001,110010074081
337,15000US110010074082,DC,11,007408,2,514,178,34.63,001,110010074082
338,15000US110010074091,DC,11,007409,1,687,64,9.32,001,110010074091
339,15000US110010074092,DC,11,007409,2,734,299,40.74,001,110010074092
340,15000US110010074093,DC,11,007409,3,434,134,30.88,001,110010074093
341,15000US110010075021,DC,11,007502,1,1200,379,31.58,001,110010075021
342,15000US110010075022,DC,11,007502,2,340,0,0.0,001,110010075022
343,15000US110010075023,DC,11,007502,3,502,24,4.78,001,110010075023
344,15000US110010075031,DC,11,007503,1,519,75,14.45,001,110010075031
345,15000US110010075032,DC,11,007503,2,609,122,20.03,001,110010075032
346,15000US110010075041,DC,11,007504,1,681,128,18.8,001,110010075041
347,15000US110010075042,DC,11,007504,2,414,50,12.08,001,110010075042
348,15000US110010076011,DC,11,007601,1,480,5,1.04,001,110010076011
349,15000US110010076012,DC,11,007601,2,229,20,8.73,001,110010076012
350,15000US110010076013,DC,11,007601,3,935,144,15.4,001,110010076013
351,15000US110010076014,DC,11,007601,4,533,108,20.26,001,110010076014
352,15000US110010076015,DC,11,007601,5,435,7,1.61,001,110010076015
353,15000US110010076031,DC,11,007603,1,507,12,2.37,001,110010076031
354,15000US110010076032,DC,11,007603,2,262,11,4.2,001,110010076032
355,15000US110010076033,DC,11,007603,3,152,0,0.0,001,110010076033
356,15000US110010076034,DC,11,007603,4,1010,28,2.77,001,110010076034
357,15000US110010076041,DC,11,007604,1,796,162,20.35,001,110010076041
358,15000US110010076042,DC,11,007604,2,501,61,12.18,001,110010076042
359,15000US110010076043,DC,11,007604,3,472,21,4.45,001,110010076043
360,15000US110010076044,DC,11,007604,4,443,23,5.19,001,110010076044
361,15000US110010076051,DC,11,007605,1,287,0,0.0,001,110010076051
362,15000US110010076052,DC,11,007605,2,398,79,19.85,001,110010076052
363,15000US110010076053,DC,11,007605,3,898,60,6.68,001,110010076053
364,15000US110010076054,DC,11,007605,4,361,150,41.55,001,110010076054
365,15000US110010077031,DC,11,007703,1,377,49,13.0,001,110010077031
366,15000US110010077032,DC,11,007703,2,775,51,6.58,001,110010077032
367,15000US110010077033,DC,11,007703,3,1288,324,25.16,001,110010077033
368,15000US110010077034,DC,11,007703,4,1078,42,3.9,001,110010077034
369,15000US110010077071,DC,11,007707,1,570,100,17.54,001,110010077071
370,15000US110010077072,DC,11,007707,2,382,34,8.9,001,110010077072
371,15000US110010077073,DC,11,007707,3,500,52,10.4,001,110010077073
372,15000US110010077081,DC,11,007708,1,413,63,15.25,001,110010077081
373,15000US110010077082,DC,11,007708,2,659,76,11.53,001,110010077082
374,15000US110010077091,DC,11,007709,1,479,46,9.6,001,110010077091
375,15000US110010077092,DC,11,007709,2,410,63,15.37,001,110010077092
376,15000US110010078031,DC,11,007803,1,649,189,29.12,001,110010078031
377,15000US110010078032,DC,11,007803,2,402,51,12.69,001,110010078032
378,15000US110010078033,DC,11,007803,3,253,29,11.46,001,110010078033
379,15000US110010078034,DC,11,007803,4,562,69,12.28,001,110010078034
380,15000US110010078041,DC,11,007804,1,763,133,17.43,001,110010078041
381,15000US110010078042,DC,11,007804,2,636,56,8.81,001,110010078042
382,15000US110010078043,DC,11,007804,3,262,0,0.0,001,110010078043
383,15000US110010078061,DC,11,007806,1,640,84,13.12,001,110010078061
384,15000US110010078062,DC,11,007806,2,425,90,21.18,001,110010078062
